Temp,scan1(subtrac buffer),scan2,scan3
76.29121,-0.00897,-0.01261,-0.0183
76.50101,-0.00957,-0.01467,-0.02256
76.70939,-0.01014,-0.01647,-0.02649
76.91911,-0.01063,-0.01811,-0.0299
77.12914,-0.01102,-0.01952,-0.03288
77.33834,-0.01131,-0.02069,-0.03541
77.54565,-0.01152,-0.02165,-0.03744
77.75328,-0.01166,-0.02234,-0.03892
77.96178,-0.01169,-0.02279,-0.03995
78.16883,-0.01168,-0.02299,-0.04055
78.37797,-0.0116,-0.023,-0.04074
78.58768,-0.01147,-0.02283,-0.04057
78.79484,-0.0113,-0.02247,-0.04007
78.99974,-0.01111,-0.02202,-0.03926
79.20986,-0.01083,-0.02149,-0.03822
79.41957,-0.01055,-0.02088,-0.03703
79.6298,-0.0103,-0.02023,-0.03577
79.83864,-0.01005,-0.01952,-0.03449
80.0467,-0.00976,-0.0188,-0.03328
80.25637,-0.0095,-0.0182,-0.03217
80.46526,-0.0093,-0.01766,-0.03129
80.67299,-0.00916,-0.0171,-0.03063
80.87928,-0.00906,-0.01676,-0.03006
81.08781,-0.00906,-0.01673,-0.02972
81.29209,-0.00907,-0.01678,-0.02993
81.49773,-0.00913,-0.017,-0.03054
81.70634,-0.00933,-0.01742,-0.03164
81.91789,-0.00967,-0.01807,-0.03314
82.12597,-0.01004,-0.01894,-0.03504
82.33327,-0.01046,-0.02002,-0.03728
82.5405,-0.01091,-0.02126,-0.03995
82.75048,-0.0114,-0.02269,-0.04293
82.96015,-0.01197,-0.02421,-0.0461
83.16882,-0.01254,-0.02585,-0.04939
83.37724,-0.0131,-0.02752,-0.0527
83.58859,-0.01372,-0.02914,-0.05592
83.79357,-0.01419,-0.0307,-0.05897
84.00122,-0.01466,-0.03215,-0.0618
84.21013,-0.01512,-0.03344,-0.06426
84.42028,-0.01545,-0.03461,-0.06636
84.62897,-0.01571,-0.03554,-0.06807
84.83822,-0.0159,-0.03633,-0.06945
85.04565,-0.01602,-0.03696,-0.07051
85.25093,-0.01605,-0.0374,-0.07128
85.45597,-0.01605,-0.03766,-0.07173
85.66381,-0.01604,-0.03783,-0.07202
85.87452,-0.01604,-0.03791,-0.0721
86.08376,-0.01602,-0.03793,-0.07206
86.29319,-0.01598,-0.03785,-0.07184
86.50208,-0.01591,-0.03777,-0.07162
86.70837,-0.01584,-0.03764,-0.07137
86.91472,-0.01583,-0.03754,-0.07103
87.12363,-0.01578,-0.03741,-0.07063
87.3319,-0.01566,-0.03725,-0.07022
87.54173,-0.01553,-0.03709,-0.06984
87.75025,-0.0155,-0.03692,-0.06947
87.9569,-0.01542,-0.03678,-0.0691
88.16514,-0.0154,-0.03666,-0.06875
88.37398,-0.01529,-0.03654,-0.06836
88.58225,-0.01517,-0.03636,-0.06796
88.79275,-0.01512,-0.03611,-0.06752
